title,company,location,education,experience,skills,description
Teacher,World Food Programme,Addis Ababa,High School,1,"Teamwork, Django, HTML, Customer Service","We are looking for a Teacher at World Food Programme in Addis Ababa. Requirements: High School degree, 1 years experience, skills: Teamwork, Django, HTML, Customer Service."
Graphic Designer,Homegrown Ethiopia,Mekelle,Master's,4,"Scikit-learn, CSS, SQL, Cybersecurity, Marketing, Docker, Project Management","We are looking for a Graphic Designer at Homegrown Ethiopia in Mekelle. Requirements: Master's degree, 4 years experience, skills: Scikit-learn, CSS, SQL, Cybersecurity, Marketing, Docker, Project Management."
Human Resources Assistant,Techno Serve,Debre Zeit,Master's,4,"Amharic, Docker, PyTorch, English, Sales","We are looking for a Human Resources Assistant at Techno Serve in Debre Zeit. Requirements: Master's degree, 4 years experience, skills: Amharic, Docker, PyTorch, English, Sales."
Sales Representative,Commercial Bank of Ethiopia,Bahir Dar,Bachelor's,5,"Pandas, Django, Marketing, Research, Linux, Git, Sales","We are looking for a Sales Representative at Commercial Bank of Ethiopia in Bahir Dar. Requirements: Bachelor's degree, 5 years experience, skills: Pandas, Django, Marketing, Research, Linux, Git, Sales."
Content Writer,UNICEF Ethiopia,Mekelle,High School,4,"Pandas, Flask, Excel","We are looking for a Content Writer at UNICEF Ethiopia in Mekelle. Requirements: High School degree, 4 years experience, skills: Pandas, Flask, Excel."
Sales Representative,Homegrown Ethiopia,Dire Dawa,High School,10,"Networking, SAP, Data Analysis, Amharic, Django, Microsoft Office, Machine Learning, Docker","We are looking for a Sales Representative at Homegrown Ethiopia in Dire Dawa. Requirements: High School degree, 10 years experience, skills: Networking, SAP, Data Analysis, Amharic, Django, Microsoft Office, Machine Learning, Docker."
Auditor,Commercial Bank of Ethiopia,Bahir Dar,Diploma,0,"Data Analysis, Networking, Communication, AWS, Writing, Cybersecurity, CCNA, Docker","We are looking for a Auditor at Commercial Bank of Ethiopia in Bahir Dar. Requirements: Diploma degree, 0 years experience, skills: Data Analysis, Networking, Communication, AWS, Writing, Cybersecurity, CCNA, Docker."
Tour Guide,SOS Children's Villages,Adama,Diploma,5,"Project Management, JavaScript, Data Analysis, Java","We are looking for a Tour Guide at SOS Children's Villages in Adama. Requirements: Diploma degree, 5 years experience, skills: Project Management, JavaScript, Data Analysis, Java."
Accountant,UNICEF Ethiopia,Mekelle,Bachelor's,4,"Leadership, Accounting, PyTorch","We are looking for a Accountant at UNICEF Ethiopia in Mekelle. Requirements: Bachelor's degree, 4 years experience, skills: Leadership, Accounting, PyTorch."
Network Administrator,Ministry of Education,Addis Ababa,Master's,4,"English, Flask, Cybersecurity, Docker, Cisco, Ethical Hacking, Networking","We are looking for a Network Administrator at Ministry of Education in Addis Ababa. Requirements: Master's degree, 4 years experience, skills: English, Flask, Cybersecurity, Docker, Cisco, Ethical Hacking, Networking."
Graphic Designer,UNICEF Ethiopia,Gondar,Bachelor's,6,"Writing, Teamwork, Project Management, Marketing, AWS","We are looking for a Graphic Designer at UNICEF Ethiopia in Gondar. Requirements: Bachelor's degree, 6 years experience, skills: Writing, Teamwork, Project Management, Marketing, AWS."
Network Administrator,Ministry of Education,Bahir Dar,Master's,7,"QuickBooks, Communication, Marketing, Django, CSS, Data Analysis, Flask, Customer Service","We are looking for a Network Administrator at Ministry of Education in Bahir Dar. Requirements: Master's degree, 7 years experience, skills: QuickBooks, Communication, Marketing, Django, CSS, Data Analysis, Flask, Customer Service."
Civil Engineer,Ethio Telecom,Jimma,Diploma,2,"Amharic, SQL, Writing, Customer Service, Data Analysis, CCNA, Networking","We are looking for a Civil Engineer at Ethio Telecom in Jimma. Requirements: Diploma degree, 2 years experience, skills: Amharic, SQL, Writing, Customer Service, Data Analysis, CCNA, Networking."
Translator (Amharic/English),SOS Children's Villages,Hawassa,High School,0,"QuickBooks, Communication, Django","We are looking for a Translator (Amharic/English) at SOS Children's Villages in Hawassa. Requirements: High School degree, 0 years experience, skills: QuickBooks, Communication, Django."
Project Manager,Techno Serve,Bahir Dar,Bachelor's,1,"Cybersecurity, QuickBooks, AWS, Marketing","We are looking for a Project Manager at Techno Serve in Bahir Dar. Requirements: Bachelor's degree, 1 years experience, skills: Cybersecurity, QuickBooks, AWS, Marketing."
